policynumber,age,numberofclaims,ncdlevel19,ncdlevel20
1,23,0,-1,0
2,23,0,-1,0
3,22,0,2,2
4,53,1,-1,-2
5,21,1,-2,-2
6,22,0,-1,0
7,53,0,2,2
8,25,1,2,1
9,23,0,2,2
10,55,0,-2,-1
11,20,1,1,0
12,51,0,1,2
13,51,0,1,2
14,20,0,-2,-1
15,21,0,0,1
16,23,1,0,-1
17,20,0,-1,0
18,51,0,0,1
19,53,0,-1,0
20,54,1,2,1
21,22,1,-1,-2
22,50,0,-1,0
23,54,0,2,2
24,53,2,2,0
25,24,0,1,2
26,54,0,0,1
27,51,0,0,1
28,20,0,0,1
29,52,0,-2,-1
30,22,0,-1,0
31,22,1,1,0
32,22,1,1,0
33,25,0,-2,-1
34,23,0,2,2
35,54,0,-2,-1
36,52,0,0,1
37,51,0,2,2
38,22,0,0,1
39,22,0,-2,-1
40,52,0,-2,-1
41,22,0,-2,-1
42,24,0,-2,-1
43,25,0,-1,0
44,52,0,-1,0
45,23,0,-1,0
46,24,0,-2,-1
47,22,0,-2,-1
48,52,0,2,2
49,25,0,0,1
50,53,0,-2,-1
51,24,0,-2,-1
52,54,0,2,2
53,22,0,2,2
54,21,0,2,2
55,23,0,0,1
56,51,0,-1,0
57,52,0,2,2
58,55,0,-2,-1
59,53,1,-2,-2
60,23,0,-1,0
61,52,0,0,1
62,23,0,2,2
63,22,0,1,2
64,52,0,0,1
65,23,0,0,1
66,53,0,-2,-1
67,23,0,0,1
68,50,0,-2,-1
69,25,0,-2,-1
70,23,0,2,2
71,53,0,-1,0
72,22,0,1,2
73,20,0,-1,0
74,21,0,1,2
75,52,0,-1,0
76,21,0,1,2
77,55,0,1,2
78,52,0,2,2
79,22,0,2,2
80,50,0,0,1
81,51,0,2,2
82,22,0,1,2
83,24,0,1,2
84,53,0,1,2
85,54,0,0,1
86,50,0,0,1
87,23,1,1,0
88,53,1,0,-1
89,53,1,-1,-2
90,21,0,0,1
91,24,0,1,2
92,21,0,0,1
93,23,0,0,1
94,23,0,0,1
95,21,0,-2,-1
96,21,0,-2,-1
97,21,0,2,2
98,22,0,1,2
99,54,0,-2,-1
100,51,0,1,2
101,51,0,-2,-1
102,52,0,-1,0
103,54,0,0,1
104,24,1,-1,-2
105,25,0,0,1
106,21,1,1,0
107,24,1,0,-1
108,53,0,1,2
109,23,0,0,1
110,52,0,2,2
111,22,1,-2,-2
112,54,0,2,2
113,22,0,1,2
114,22,1,2,1
115,51,0,2,2
116,25,0,-2,-1
117,51,0,-1,0
118,25,1,1,0
119,23,0,1,2
120,53,0,2,2
121,51,0,-1,0
122,51,0,2,2
123,51,0,0,1
124,24,0,-1,0
125,23,0,2,2
126,22,1,0,-1
127,52,0,1,2
128,23,0,1,2
129,23,0,2,2
130,54,0,0,1
131,22,0,-1,0
132,52,1,-2,-2
133,55,0,2,2
134,21,0,-1,0
135,21,0,-1,0
136,22,0,2,2
137,54,0,0,1
138,54,0,2,2
139,54,1,-1,-2
140,23,0,1,2
141,20,0,1,2
142,52,0,-2,-1
143,21,0,1,2
144,21,0,-2,-1
145,54,0,0,1
146,23,0,0,1
147,52,0,1,2
148,54,0,-1,0
149,25,0,-1,0
150,21,0,-1,0
151,20,0,0,1
152,21,0,-2,-1
153,53,0,1,2
154,20,0,2,2
155,21,0,2,2
156,21,0,-1,0
157,24,0,1,2
158,22,0,-2,-1
159,54,0,1,2
160,24,0,2,2
161,25,0,1,2
162,54,0,1,2
163,51,0,1,2
164,54,0,1,2
165,22,0,0,1
166,24,0,0,1
167,54,0,0,1
168,51,0,-1,0
169,52,0,1,2
170,54,0,1,2
171,50,0,-1,0
172,54,0,-1,0
173,22,1,0,-1
174,21,0,-1,0
175,23,0,0,1
176,53,0,2,2
177,54,0,-2,-1
